district,dem.house.2018,gop.house.2018,total.turnout.2018.house,pct_reported,precincts_reporting,precincts_total,uncontested,dem.turnout.2018.house,rep.turnout.2018.house,dem.house.margin.2018,dem.house.2016,gop.house.2016,dem.house.margin.2016,dem.house.2012,gop.house.2012,dem.house.margin.2012,dem.house.2014,gop.house.2014,dem.house.margin.2014,total.turnout.2016.house,dem.turnout.2016.house,rep.turnout.2016.house,total.turnout.2014.house,dem.turnout.2014.house,rep.turnout.2014.house,dem.turnout.2012.house,rep.turnout.2012.house,total.turnout.2012.house,obama.2008,mccain.2008,obama.margin.2008,obama.2012,romney.2012,obama.margin.2012,clinton.2016,trump.2016,clinton.margin.2016,total.pres.turnout.2016,clinton.turnout.2016,trump.turnout.2016,obama_trump,romney_clinton,too_early,stcode,abbcode,anycong,nocong,evanprot,catholic,mainprot,other,congsession,yrelected,stateabbr,cdnum,educ.coll,educ.hs,educ.no_hs,educ.some_coll,asian,black,race.oth,white,cd_num,fips_cd113,prohibit_taxpayer_abortion,cut_defense_spending,gun_control_background_checks,race_problems_isolated,attitudes_deport_immig,obamacare_repeal,white_people_advantage,abortion_always_legal,min_wage_12,full_name,prob_rep_win,proj_dem_2party,prob_dem_win,proj_rep_2party,econ.proj.dem.margin.2018,density_type,high_minus_low_density,High.density,Medium.density,Low.density,Very.low.density,density_type.slim,swing_obama_clinton,swing_house_dems,race_called,uncontested_2016,uncontested_2012,region,D.Polling.Margin
MI-09,0.59670413,0.368143865,304563,1,304,304,0,181734,112123,0.228560265,0.579,0.374,0.205,0.645,0.355,0.29,0.604,0.361,0.243,344775,199661,128937,225757,136342,81470,208846,114760,323606,0.58,0.4,0.18,0.57,0.42,0.15,0.52,0.44,0.08,355751,183085,155597,0,0,0,26,MI09,45.235577,54.764423,9.8747215,28.025358,3.5656919,3.769805,116,2018,MI,9,27.21563084,29.51044499,11.86227912,31.41164505,3.624749067,9.948606158,5.273767065,81.15287771,207,2609,0.485023505,0.433004968,0.946953033,0.286161161,0.440922955,0.577103438,0.525825527,0.623407852,0.637622442,Michigan 9th,0.0071,0.639659127,0.9929,0.360340873,0.279318254,Dense suburban,0.34987565,0.350022284,0.579279863,0.07055122,0.000146634,Suburban,-0.07,-0.038,1,0,0,Midwest,NA
MI-10,0.349962384,0.603199324,303064,1,333,333,0,106061,182808,-0.25323694,0.323,0.631,-0.308,0.302,0.698,-0.396,0.294,0.687,-0.393,340983,110112,215132,228692,67143,157069,97734,226075,323809,0.48,0.5,-0.02,0.44,0.55,-0.12,0.32,0.64,-0.32,357785,113065,228171,0,0,0,26,MI10,40.542412,59.457588,10.623942,23.267,4.7318611,1.9196081,116,2018,MI,10,20.88031007,33.74224209,10.7663612,34.61108665,1.381009548,2.577195823,4.138840806,91.90295382,208,2610,0.555198127,0.377471913,0.916041189,0.209626835,0.506941929,0.576798896,0.386025241,0.467016707,0.551823708,Michigan 10th,0.999,0.3548466,0.001,0.6451534,-0.2903068,Rural-suburban mix,-0.332686923,0.027957737,0.310588126,0.300809477,0.360644661,Rural,-0.2,0.085,1,0,0,Midwest,NA
MI-11,0.518414026,0.45158891,350901,1,291,291,0,181912,158463,0.066825116,0.402,0.529,-0.127,0.466,0.534,-0.068,0.405,0.559,-0.154,379488,152461,200872,251238,101681,140435,158879,181788,340667,0.5,0.48,0.02,0.47,0.52,-0.05,0.45,0.5,-0.04,390926,177143,194245,0,0,0,26,MI11,47.923939,52.076061,11.929233,21.25886,5.5923595,9.143487,116,2018,MI,11,43.66064734,20.95642304,6.51251714,28.87041249,7.440443559,4.75979654,4.875543867,82.92421603,209,2611,0.501130965,0.326160818,0.92035735,0.24359354,0.488682879,0.617774206,0.427310366,0.510606556,0.487747796,Michigan 11th,0.2353,0.531824305,0.7647,0.468175695,0.06364861,Sparse suburban,0.045546514,0.056855098,0.51455391,0.417282408,0.011308584,Suburban,0.01,0.027,1,0,0,Midwest,6.433798687
MI-12,0.680817845,0.288889719,294628,1,299,299,0,200588,85115,0.391928126,0.643,0.293,0.35,0.701,0.299,0.402,0.65,0.313,0.337,328542,211378,96104,206660,134346,64716,216884,92472,309356,0.67,0.31,0.36,0.66,0.33,0.33,0.61,0.35,0.26,338523,205939,116741,0,0,0,26,MI12,39.588646,60.411354,9.1267891,14.918077,5.6897259,9.8540545,116,2018,MI,12,31.5704206,26.70662287,11.45081757,30.27213896,4.588265267,10.10803776,7.510862305,77.79283467,210,2612,0.435650155,0.490030843,0.930276568,0.177486217,0.385174068,0.455464282,0.573137205,0.618017799,0.663401418,Michigan 12th,1E-04,0.708552776,0.9999,0.291447224,0.417105553,Dense suburban,0.239567578,0.259959972,0.448145113,0.271502522,0.020392394,Suburban,-0.07,0.013,1,0,0,Midwest,NA
MI-13,0.845714783,0,195521,1,421,421,1,165355,0,1,0.771,0.157,0.614,0.859,0.141,0.718,0.795,0.163,0.632,257797,198771,40541,166947,132710,27234,235336,38769,274105,0.85,0.14,0.71,0.85,0.14,0.71,0.79,0.18,0.61,265343,209105,48111,0,0,0,26,MI13,43.310661,56.689339,10.105823,16.328991,4.6900883,12.18576,116,2018,MI,13,13.25414643,34.23401217,19.62462833,32.88721307,1.283544192,55.50412405,7.149594234,36.06273753,211,2613,0.288720225,0.54085756,0.949509799,0.167660994,0.31100684,0.373538182,0.688556915,0.672750601,0.808045396,Michigan 13th,0,1,1,0,1,Dense suburban,0.336760402,0.337172372,0.594933574,0.067482084,0.00041197,Suburban,-0.1,-0.018,1,0,0,Midwest,NA
MI-14,0.80882586,0.173207695,264994,1,390,390,0,214334,45899,0.635618165,0.785,0.187,0.598,0.84,0.16,0.68,0.778,0.197,0.581,310974,244135,58103,212468,165272,41801,270450,51395,321845,0.82,0.17,0.65,0.81,0.19,0.62,0.79,0.18,0.61,318751,252387,58179,0,0,0,26,MI14,46.397633,53.602367,11.325954,19.627804,5.2938414,10.150033,116,2018,MI,14,28.5469304,25.65182304,15.30142255,30.49982401,3.883940956,56.16558544,6.688386853,33.26208675,212,2614,0.362464459,0.468524323,0.944982224,0.130994104,0.321687608,0.350581612,0.745348383,0.700200626,0.781690553,Michigan 14th,0,0.860502665,1,0.139497335,0.721005329,Dense suburban,0.34898871,0.34911287,0.547556381,0.103206588,0.00012416,Suburban,-0.01,0.017,1,0,0,Midwest,NA
MN-01,0.49774121,0.50225879,291085,1,698,698,0,144885,146200,-0.004517581,0.503,0.496,0.007,0.576,0.424,0.152,0.542,0.457,0.085,335877,169074,166526,226695,122851,103536,193211,142164,335375,0.51,0.47,0.04,0.5,0.48,0.01,0.38,0.53,-0.15,340831,130831,181647,1,0,0,27,MN01,66.969322,33.030678,16.945856,22.334219,26.388474,1.3007736,116,2018,MN,1,25.91735658,31.73327591,9.268634629,33.08073288,2.174998143,2.256109337,4.41654906,91.15234346,213,2701,0.480863143,0.363129638,0.868398785,0.215498712,0.561472876,0.566084692,0.446967739,0.501199226,0.517237639,Minnesota 1st,0.482,0.501925236,0.518,0.498074764,0.003850473,Rural-suburban mix,-0.422338273,0.023805111,0.207067822,0.322983682,0.446143384,Rural,-0.16,-0.078,1,0,0,Midwest,-2.309904649
MN-02,0.527592484,0.472407516,337302,1,292,292,0,177958,159344,0.055184968,0.452,0.47,-0.018,0.459,0.541,-0.082,0.389,0.56,-0.172,370514,167315,173970,245848,95565,137778,164338,193587,357925,0.51,0.48,0.03,0.49,0.49,0,0.45,0.47,-0.01,377887,171287,175807,0,0,0,27,MN02,57.622425,42.377575,13.254488,27.217064,15.751114,1.3997593,116,2018,MN,2,36.05727463,24.63747019,5.721917226,33.58333795,4.162345884,3.694673173,7.034625994,85.10835495,214,2702,0.405641879,0.363321964,0.909473441,0.241277147,0.381923905,0.539907945,0.508634638,0.604562107,0.626759284,Minnesota 2nd,0.2143,0.52260318,0.7857,0.47739682,0.04520636,Sparse suburban,-0.141101529,0.02854378,0.383627814,0.418183097,0.169645309,Suburban,-0.01,0.154,1,0,0,Midwest,5.612823856
MN-03,0.557213766,0.442786234,363243,1,248,248,0,202404,160839,0.114427532,0.43,0.567,-0.137,0.418,0.582,-0.164,0.378,0.621,-0.244,393464,169243,223077,269585,101846,167515,159937,222335,382272,0.51,0.47,0.04,0.5,0.49,0.01,0.51,0.41,0.09,397008,201833,164259,0,0,0,27,MN03,52.881851,47.118149,14.195383,18.862123,15.697929,4.1264153,116,2018,MN,3,45.53326912,19.19094182,4.723722697,30.55206637,6.164216765,6.344805328,6.538156852,80.95282105,215,2703,0.437052019,0.333400324,0.933658095,0.256146211,0.379638074,0.551098842,0.560159641,0.513940915,0.64562263,Minnesota 3rd,0.1455,0.534750415,0.8545,0.465249585,0.06950083,Sparse suburban,-0.034051488,0.023740311,0.532860961,0.38560693,0.057791799,Suburban,0.08,0.107,1,0,0,Midwest,7.652623141
MN-04,0.660390573,0.297656133,328389,1,225,225,0,216865,97747,0.36273444,0.578,0.344,0.234,0.664,0.336,0.328,0.612,0.329,0.283,351944,203299,121032,241637,147857,79492,216685,109659,326344,0.63,0.36,0.27,0.63,0.36,0.27,0.62,0.31,0.31,363650,223803,111163,0,0,0,27,MN04,52.099934,47.900066,9.2261076,25.11058,13.715055,4.0481911,116,2018,MN,4,40.41697139,22.57699113,8.681328569,28.32470891,10.09316115,8.894772002,7.96578027,73.04628658,216,2704,0.30736128,0.42203966,0.879642705,0.124336878,0.284685618,0.42313409,0.684067351,0.701526633,0.729801686,Minnesota 4th,1E-04,0.694134445,0.9999,0.305865555,0.388268891,Dense suburban,0.257893862,0.278567314,0.47175708,0.229002154,0.020673452,Suburban,0.04,-0.049,1,0,0,Midwest,NA
MN-05,0.782430153,0.217569847,342143,1,236,236,0,267703,74440,0.564860307,0.691,0.223,0.468,0.747,0.253,0.494,0.708,0.24,0.468,361882,249964,80660,236009,167079,56577,262102,88753,350855,0.73,0.25,0.49,0.74,0.24,0.5,0.74,0.19,0.55,370869,273402,68535,0,0,0,27,MN05,53.939941,46.060059,14.116385,19.037848,16.306662,4.4790478,116,2018,MN,5,42.06200771,20.01318362,10.69437462,27.23043405,5.38236147,14.76557124,11.66538989,68.1866774,217,2705,0.319077153,0.506719964,0.918388659,0.154006944,0.280586866,0.319805633,0.739433681,0.771792688,0.797483363,Minnesota 5th,0.0005,0.788807646,0.9995,0.211192354,0.577615291,Urban-suburban mix,0.544840552,0.545260307,0.437141717,0.017178221,0.000419755,Urban,0.05,0,1,0,0,Midwest,NA
MN-06,0.38803158,0.61196842,315263,1,279,279,0,122332,192931,-0.22393684,0.343,0.656,-0.313,0.494,0.506,-0.012,0.384,0.563,-0.179,358924,123008,235380,236846,90926,133328,174944,179240,354184,0.43,0.55,-0.12,0.42,0.57,-0.15,0.33,0.59,-0.26,370947,123329,218546,0,0,0,27,MN06,49.45039,50.54961,13.824078,23.656191,11.264641,0.70548058,116,2018,MN,6,26.85101636,29.65865465,6.557155748,36.93317324,2.241965156,1.955054049,4.769804569,91.03317623,218,2706,0.600327086,0.292598752,0.823167632,0.264642962,0.567265759,0.603065939,0.42049385,0.500483685,0.522605156,Minnesota 6th,0.9956,0.381373627,0.0044,0.618626373,-0.237252746,Rural-suburban mix,-0.334163071,0,0.149154431,0.516682498,0.334163071,Rural,-0.11,-0.134,1,0,0,Midwest,NA
MN-07,0.521333618,0.478666382,281340,1,1329,1329,0,146672,134668,0.042667235,0.525,0.474,0.051,0.634,0.366,0.268,0.542,0.457,0.086,330848,173589,156952,240835,130546,109955,197791,114151,311942,0.47,0.5,-0.03,0.44,0.54,-0.1,0.31,0.62,-0.31,337005,104566,208215,0,0,0,27,MN07,69.426422,30.573578,18.620165,19.886808,30.426046,0.49340248,116,2018,MN,7,19.95461388,34.86687487,10.49812389,34.68038735,0.763978759,0.808306187,6.847397623,91.58031743,219,2707,0.576075946,0.330948709,0.794639921,0.23118374,0.567696288,0.623539576,0.395305279,0.479362475,0.594268282,Minnesota 7th,0.0737,0.557711003,0.9263,0.442288997,0.115422005,Pure rural,-0.695033751,0,0.058088047,0.246878203,0.695033751,Rural,-0.21,-0.035,1,0,0,Midwest,18.6546299
MN-08,0.451989454,0.507438164,314056,1,806,806,0,141950,159364,-0.05544871,0.502,0.496,0.006,0.545,0.455,0.09,0.485,0.471,0.014,356979,179098,177089,266083,129090,125358,191976,160520,352496,0.53,0.45,0.09,0.52,0.46,0.06,0.39,0.54,-0.16,359353,138665,194779,1,0,0,27,MN08,48.061096,51.938904,12.17359,17.40696,17.383747,1.0967999,116,2018,MN,8,21.09981885,34.17103874,8.615742976,36.11339943,0.627732051,0.929435026,6.403252578,92.03958035,220,2708,0.580913747,0.368294243,0.779973098,0.299976546,0.51847986,0.629370568,0.470967262,0.463669844,0.606239076,Minnesota 8th,0.8093,0.473033583,0.1907,0.526966417,-0.053932835,Pure rural,-0.612070195,0.021517948,0.049264021,0.295629888,0.633588142,Rural,-0.22,-0.008,1,0,0,Midwest,-5.253713183
MO-01,0.801024146,0.167169021,274375,1,474,474,0,219781,45867,0.633855125,0.755,0.2,0.555,0.815,0.185,0.63,0.73,0.216,0.514,314024,236993,62714,163494,119315,35273,267927,60832,328759,0.8,0.19,0.62,0.8,0.19,0.61,0.77,0.19,0.58,319606,246107,60136,0,0,0,29,MO01,49.311241,50.688759,13.833054,19.780327,6.6129532,9.0849075,116,2018,MO,1,27.4322182,26.9336868,14.39955993,31.23453507,2.441097682,47.72377812,6.177935888,43.65718831,225,2901,0.484955404,0.49551979,0.943146033,0.179365193,0.355832934,0.424793196,0.683021918,0.684313586,0.718315931,Missouri 1st,0,0.836747221,1,0.163252779,0.673494442,Dense suburban,0.382903474,0.385705918,0.510219121,0.101272517,0.002802444,Suburban,-0.03,0.041,1,0,0,Midwest,NA
MO-02,0.472298082,0.511829324,376057,1,463,463,0,177611,192477,-0.039531241,0.377,0.585,-0.208,0.382,0.618,-0.236,0.326,0.641,-0.315,413296,155689,241954,231117,75384,148191,146272,236971,383243,0.46,0.53,-0.06,0.41,0.57,-0.16,0.42,0.53,-0.1,420072,177647,220842,0,0,0,29,MO02,50.782063,49.217937,17.095915,22.651859,7.0733495,3.9609389,116,2018,MO,2,45.77391385,20.56004231,5.910421026,27.75562281,3.821926767,3.432167873,3.853507501,88.89239786,226,2902,0.522788768,0.374204652,0.899687835,0.198247046,0.461731611,0.570990237,0.473409144,0.47543196,0.512660822,Missouri 2nd,0.9201,0.447505173,0.0799,0.552494827,-0.104989653,Dense suburban,0.037412885,0.052316892,0.638167157,0.294611944,0.014904008,Suburban,0.06,0.107,1,0,0,Midwest,-3.131093973
MO-03,0.328362209,0.650763382,324608,1,337,337,0,106589,211243,-0.322401173,0.279,0.678,-0.399,0.341,0.659,-0.318,0.272,0.683,-0.412,368333,102891,249865,191620,52021,130940,111189,214843,326032,0.43,0.56,-0.13,0.36,0.62,-0.26,0.28,0.67,-0.39,378846,106365,254183,0,0,0,29,MO03,47.674366,52.325634,21.369722,18.13447,6.830955,1.3392186,116,2018,MO,3,23.04778928,33.65850139,11.64252621,31.65118311,0.826265268,3.281191186,3.982729744,91.9098138,227,2903,0.621644999,0.334791585,0.833651666,0.234240025,0.527345511,0.660941226,0.326205441,0.414885819,0.517531724,Missouri 3rd,1,0.318639467,0,0.681360533,-0.362721066,Rural-suburban mix,-0.401561756,0,0.219481064,0.378957181,0.401561756,Rural,-0.13,0.013,1,0,0,Midwest,NA
MO-04,0.32718297,0.648236032,293316,1,385,385,0,95968,190138,-0.321053062,0.278,0.678,-0.4,0.37,0.63,-0.26,0.264,0.681,-0.417,332234,92510,225348,176286,46464,120014,113120,192237,305357,0.42,0.57,-0.15,0.36,0.61,-0.25,0.29,0.65,-0.36,340290,99844,222162,0,0,0,29,MO04,45.089054,54.910946,29.274347,5.0229087,8.4123297,2.3794684,116,2018,MO,4,22.97376447,35.50749497,12.66321378,28.85552678,1.320606524,4.393802204,6.619602174,87.6659891,228,2904,0.597615995,0.28866462,0.858504052,0.261776143,0.519560244,0.671714828,0.384956146,0.451926966,0.486004023,Missouri 4th,0.9996,0.345875791,0.0004,0.654124209,-0.308248418,Pure rural,-0.529492293,0.010823484,0.078050205,0.370810534,0.540315777,Rural,-0.11,0.017,1,0,0,Midwest,NA
MO-05,0.616741842,0.356152653,283780,1,410,410,0,175019,101069,0.260589189,0.588,0.382,0.206,0.621,0.379,0.242,0.516,0.45,0.066,324270,190766,123771,153635,79256,69071,200290,122149,322439,0.62,0.37,0.25,0.59,0.39,0.2,0.54,0.41,0.14,328803,177772,133458,0,0,0,29,MO05,52.422035,47.577965,24.190466,9.7163801,9.3952446,9.1199446,116,2018,MO,5,24.56561644,31.27019951,13.2861886,30.87799545,1.634765017,21.22302625,9.651416122,67.49079261,229,2905,0.47771224,0.395915381,0.905305299,0.13627386,0.4408332,0.539978149,0.564887927,0.564351068,0.691890039,Missouri 5th,0.0007,0.651708507,0.9993,0.348291493,0.303417015,Dense suburban,-0.010921004,0.097783925,0.523717614,0.269793531,0.10870493,Suburban,-0.06,0.14,1,0,0,Midwest,NA
MO-06,0.319767918,0.654191592,305409,1,501,501,0,97660,199796,-0.334423674,0.284,0.68,-0.396,0.333,0.667,-0.334,0.295,0.667,-0.372,350444,99692,238388,186970,55157,124616,108503,216906,325409,0.43,0.55,-0.12,0.38,0.6,-0.22,0.32,0.63,-0.31,354014,112056,223375,0,0,0,29,MO06,51.245567,48.754433,27.506523,8.6726866,11.776949,3.2894087,116,2018,MO,6,25.06167796,35.15097957,10.76877032,29.01857215,1.024229826,3.695888383,5.140308332,90.13957346,230,2906,0.544320949,0.338674892,0.855303452,0.283845294,0.490343745,0.636574242,0.381835735,0.414378471,0.528662272,Missouri 6th,0.9999,0.331296232,1E-04,0.668703768,-0.337407537,Rural-suburban mix,-0.41080189,0,0.182005343,0.407192766,0.41080189,Rural,-0.09,-0.024,1,0,0,Midwest,NA
MO-07,0.300857134,0.662307347,296453,1,332,332,0,89190,196343,-0.361450213,0.274,0.675,-0.401,0.326,0.674,-0.348,0.288,0.635,-0.346,338607,92756,228692,163957,47282,104054,98498,203565,302063,0.35,0.63,-0.28,0.3,0.68,-0.37,0.25,0.7,-0.46,342069,84419,240690,0,0,0,29,MO07,50.747238,49.252762,37.070511,4.848084,6.9017205,1.9269228,116,2018,MO,7,21.99876112,32.71266841,13.64810785,31.64046263,0.983807492,1.533815218,7.848516758,89.63386053,231,2907,0.647478401,0.260824973,0.84012768,0.260532071,0.5595996,0.737287941,0.352837163,0.391449191,0.515444226,Missouri 7th,1,0.319365478,0,0.680634522,-0.361269043,Rural-suburban mix,-0.386056555,0.023111006,0.186980613,0.38074082,0.409167561,Rural,-0.09,-0.055,1,0,0,Midwest,NA
MO-08,0.250193836,0.733898388,264399,1,462,462,0,66151,194042,-0.483704553,0.227,0.744,-0.517,0.254,0.746,-0.492,0.243,0.667,-0.423,308871,70009,229792,159224,38721,106124,73755,216083,289838,0.38,0.6,-0.22,0.32,0.66,-0.34,0.21,0.75,-0.54,317749,66858,239666,0,0,0,29,MO08,46.905689,53.094311,32.545177,7.9283075,4.7422843,1.6899199,116,2018,MO,8,14.46101082,38.51137649,20.37610937,26.65150332,0.503092849,4.516049576,3.50973145,91.47112613,232,2908,0.64185042,0.307881401,0.776014809,0.229543577,0.613442186,0.771721515,0.310512082,0.362796076,0.513720507,Missouri 8th,1,0.262563587,0,0.737436413,-0.474872827,Pure rural,-0.65912922,0,0.023624516,0.317246265,0.65912922,Rural,-0.2,-0.094,1,0,0,Midwest,NA
MS-01,0.323865534,0.669052642,236521,0.990543735,419,423,0,76601,158245,-0.345187108,0.279,0.687,-0.408,0.379,0.621,-0.242,0.289,0.679,-0.39,300423,83947,206455,151111,43713,102622,114076,186760,300836,0.37,0.62,-0.26,0.37,0.62,-0.25,0.32,0.65,-0.33,310622,100770,203144,0,0,0,28,MS01,60.307182,39.692818,43.731281,1.8362153,8.556941,6.182745,116,2018,MS,1,17.95606076,32.1381425,19.50279059,30.40300615,0.62055643,25.74671898,4.235423761,69.39730083,221,2801,0.643541561,0.315946773,0.837182919,0.262242853,0.650489034,0.703880647,0.335714741,0.34487946,0.443483385,Mississippi 1st,0.9996,0.333434506,0.0004,0.666565494,-0.333130987,Pure rural,-0.618043716,0,0.047336632,0.334619651,0.618043716,Rural,-0.08,-0.018,1,0,0,South,-27.19929549
MS-02,0.717868452,0,221379,0.984585742,511,519,1,158921,0,1,0.671,0.291,0.38,0.684,0.316,0.368,0.677,0,0.677,286626,192343,83542,148646,100688,0,214978,99160,314138,0.64,0.35,0.29,0.66,0.33,0.33,0.64,0.35,0.29,291427,185208,102392,0,0,0,28,MS02,59.414097,40.585903,35.223984,2.4962075,9.3030796,12.390826,116,2018,MS,2,17.76604169,29.41614273,23.40989438,29.40792121,0.496046667,64.36547923,2.145462261,32.99301184,222,2802,0.488982101,0.379827946,0.931325389,0.174928441,0.415730764,0.541872832,0.654322992,0.479185227,0.734778351,Mississippi 2nd,0,1,1,0,1,Pure rural,-0.489527077,0,0.158382373,0.35209055,0.489527077,Rural,-0.04,-0.297,1,0,0,South,30.80070451
MS-03,0.367165363,0.623016197,257271,1,514,514,0,94461,160284,-0.255850834,0.304,0.662,-0.358,0,1,-1,0.279,0.689,-0.41,316445,96101,209490,170946,47744,117771,0,234717,234717,0.38,0.61,-0.22,0.39,0.6,-0.21,0.37,0.61,-0.25,323853,119108,198527,0,0,0,28,MS03,61.452141,38.547859,43.843403,2.4683626,8.1522665,6.9881086,116,2018,MS,3,24.45815755,29.09471427,16.77279257,29.67433561,0.930585991,34.64720409,3.0674822,61.35472771,223,2803,0.61517768,0.346281994,0.821689373,0.256715358,0.587408636,0.615697917,0.433172555,0.423888954,0.578741073,Mississippi 3rd,0.9647,0.39421513,0.0353,0.60578487,-0.21156974,Pure rural,-0.601600557,0,0.075272394,0.323127049,0.601600557,Rural,-0.04,0.052,1,0,-1,South,-27.19929549
MS-04,0.307452667,0.682213541,223732,0.9002849,316,351,0,68787,152633,-0.374760875,0.278,0.65,-0.372,0.31,0.69,-0.38,0.243,0.699,-0.456,278779,77505,181323,155576,37869,108776,82344,182998,265342,0.31,0.68,-0.37,0.31,0.68,-0.36,0.28,0.69,-0.41,283455,80045,196652,0,0,1,28,MS04,53.776146,46.223854,34.711311,8.3632689,6.8958135,3.8057523,116,2018,MS,4,19.60188927,30.96724145,16.41026494,33.02060434,1.465966785,22.44415128,4.436272986,71.65360895,224,2804,0.609510776,0.334084598,0.878507313,0.219362495,0.616220641,0.675507708,0.352772935,0.361237324,0.515418389,Mississippi 4th,0.9983,0.366206372,0.0017,0.633793628,-0.267587256,Rural-suburban mix,-0.437147586,0,0.128658292,0.434194123,0.437147586,Rural,-0.05,0.084,1,0,0,South,-15.19929549
MT-AL,0.462478763,0.508822987,504421,1,669,669,0,233284,256661,-0.046344224,0.405,0.562,-0.157,0.445,0.555,-0.11,0.404,0.554,-0.15,507831,205919,285358,367963,148690,203871,204939,255468,460407,0.47,0.5,-0.02,0.42,0.55,-0.14,0.36,0.57,-0.21,494525,177709,279240,0,0,0,30,MT00,38.100899,61.899101,12.235917,12.897722,7.7691364,5.198123,116,2018,MT,AL,28.4828633,30.23191035,8.137343838,33.14788251,0.594679618,0.408509615,11.48764517,87.5091656,233,3001,0.540264725,0.400910332,0.695284639,0.279980061,0.501075494,0.649587669,0.428666849,0.461710304,0.543298488,Montana at-large,0.6037,0.492642949,0.3963,0.507357051,-0.014714101,Pure rural,-0.490103978,0.028608811,0.196032601,0.256645798,0.518712789,Rural,-0.07,-0.007,1,0,0,West,-1.408016667
NC-01,0.698476208,0.301523792,272675,1,246,246,0,190457,82218,0.396952416,0.686,0.29,0.396,0.767,0.233,0.534,0.734,0.266,0.468,350699,240661,101567,NA,NA,NA,NA,NA,NA,0.67,0.32,0.35,0.69,0.31,0.37,0.68,0.31,0.37,354704,239585,108100,0,0,0,37,NC01,42.241383,57.758617,25.747627,2.2342219,9.6034489,4.6560845,116,2018,NC,1,17.84270392,30.79768845,22.64762703,28.7119806,1.280964453,51.45834421,9.283476831,37.9772145,285,3701,0.471861768,0.381625813,0.942507144,0.178032233,0.365357151,0.489169882,0.687201586,0.660674528,0.81765013,North Carolina 1st,0,0.737086871,1,0.262913129,0.474173743,Rural-suburban mix,-0.416408793,0.02480576,0.228430883,0.305548803,0.441214553,Rural,0,-0.072,1,0,1,South,NA
NC-02,0.458170538,0.512722186,331704,1,158,158,0,151977,170072,-0.054551648,0.433,0.567,-0.134,0.426,0.574,-0.148,0.412,0.588,-0.177,390567,169082,221485,NA,NA,NA,NA,NA,NA,0.45,0.54,-0.1,0.44,0.57,-0.13,0.44,0.53,-0.1,397167,173131,211450,0,0,0,37,NC02,41.706654,58.293346,22.853804,5.7505941,9.0654316,4.0368242,116,2018,NC,2,27.15952177,26.5087863,13.93449698,32.39719495,2.978007691,15.31052018,11.12052804,70.5909441,286,3702,0.589212413,0.374780454,0.797841354,0.269931327,0.445058525,0.653212009,0.484978213,0.53082061,0.555279457,North Carolina 2nd,0.8113,0.469414139,0.1887,0.530585861,-0.061171723,Rural-suburban mix,-0.343016255,0.006390636,0.208107024,0.43609545,0.34940689,Rural,0.03,0.043,1,0,1,South,-5.505040412
NC-03,0,1,187901,NA,0,0,-1,0,187901,0,0.328,0.672,-0.344,0.369,0.631,-0.262,0.322,0.678,-0.356,323701,106170,217531,NA,NA,NA,NA,NA,NA,0.42,0.57,-0.14,0.41,0.59,-0.18,0.37,0.61,-0.24,328451,121094,198864,0,0,NA,37,NC03,40.579124,59.420876,21.944733,3.4070663,10.584751,4.6425743,116,2018,NC,3,21.54070301,29.39703645,13.2360591,35.82620145,1.1853635,18.83359059,7.150302439,72.83074347,287,3703,0.583154131,0.340894829,0.880207404,0.241948295,0.54985057,0.693309091,0.425887037,0.50064333,0.552214997,North Carolina 3rd,1,0,0,1,-1,Pure rural,-0.487428816,0,0.13045742,0.382113764,0.487428816,Rural,-0.06,0.012,1,0,1,South,NA
NC-04,0.723681397,0.240337665,341403,1,183,183,0,247067,82052,0.483343732,0.682,0.318,0.364,0.745,0.255,0.49,0.748,0.253,0.495,409541,279380,130161,NA,NA,NA,NA,NA,NA,0.66,0.33,0.33,0.65,0.35,0.31,0.68,0.28,0.4,412533,281517,116383,0,0,0,37,NC04,45.804169,54.195831,17.271088,10.562465,11.80675,6.163866,116,2018,NC,4,40.73757142,19.37055811,11.76360438,28.1282661,4.948844893,31.89929934,10.08175255,53.07010321,288,3704,0.349287564,0.419364824,0.900312068,0.172609662,0.320049612,0.432084855,0.696505544,0.70904158,0.755204995,North Carolina 4th,1E-04,0.758609227,0.9999,0.241390773,0.517218455,Sparse suburban,-0.023757251,0.074939077,0.487642842,0.338721753,0.098696328,Suburban,0.09,-0.131,1,0,1,South,NA
NC-05,0.429652086,0.570347914,280385,1,263,263,0,120468,159917,-0.140695829,0.416,0.584,-0.168,0.425,0.575,-0.15,0.39,0.61,-0.22,355512,147887,207625,NA,NA,NA,NA,NA,NA,0.45,0.54,-0.1,0.43,0.57,-0.14,0.4,0.57,-0.18,358023,142367,205348,0,0,0,37,NC05,52.105389,47.894611,33.401184,2.8003688,13.214804,2.6890321,116,2018,NC,5,25.45899361,29.4667546,15.9372586,29.13699318,1.417040984,12.44613312,6.749526401,79.38729949,289,3705,0.580093089,0.280304613,0.898105551,0.296535131,0.477243032,0.714952941,0.437343655,0.453536519,0.556024988,North Carolina 5th,0.8606,0.450195884,0.1394,0.549804116,-0.099608232,Rural-suburban mix,-0.349042951,0,0.13338759,0.517569458,0.349042951,Rural,-0.04,0.052,1,0,1,South,NA
